test_type,component_name,file_size,file_name,false_rate,total_nb_of_tested,ers_score,control_attempts
k2_controller,deobfuscation,50_100,10_50_100,0.16,8.33,0.89,3.0
k2_controller,deobfuscation,50_100,6_50_100,0.2,9.0,0.85,2.67
k2_controller,deobfuscation,50_100,7_50_100,0.3,6.33,0.8,3.0
k2_controller,deobfuscation,50_100,8_50_100,0.07,15.0,0.93,3.0
k2_controller,deobfuscation,50_100,9_50_100,0.6,10.0,0.64,3.0
k2_controller,memory_safety,0_50,1_0_50,0.0,6.67,0.95,1.0
k2_controller,memory_safety,0_50,2_0_50,0.0,0.0,0.91,1.0
k2_controller,memory_safety,0_50,3_0_50,0.0,4.67,0.94,1.33
k2_controller,memory_safety,0_50,4_0_50,0.23,6.33,0.86,3.0
k2_controller,memory_safety,0_50,5_0_50,0.0,0.0,0.91,1.0
k2_controller,memory_safety,100_200,11_100_200,,,,
k2_controller,memory_safety,100_200,12_100_200,0.0,26.0,0.98,1.0
k2_controller,memory_safety,100_200,13_100_200,0.0,0.0,0.91,1.0
k2_controller,memory_safety,100_200,14_100_200,0.06,32.0,0.93,1.0
k2_controller,memory_safety,100_200,15_100_200,0.03,24.33,0.96,2.67
k2_controller,memory_safety,200_300,16_200_300,0.0,17.33,0.97,1.0
k2_controller,memory_safety,200_300,17_200_300,0.0,16.67,0.97,1.0
k2_controller,memory_safety,200_300,18_200_300,0.0,15.0,0.97,1.0
k2_controller,memory_safety,200_300,19_200_300,0.0,37.0,0.98,1.33
k2_controller,memory_safety,200_300,20_200_300,0.0,10.33,0.96,1.0
k2_controller,memory_safety,300_400,21_300_400,0.23,17.67,0.82,3.0
k2_controller,memory_safety,300_400,22_300_400,0.16,23.0,0.87,3.0
k2_controller,memory_safety,300_400,23_300_400,0.14,62.0,0.88,3.0
k2_controller,memory_safety,300_400,24_300_400,0.0,31.0,0.97,1.67
k2_controller,memory_safety,300_400,25_300_400,0.05,92.0,0.95,3.0
k2_controller,memory_safety,50_100,10_50_100,0.07,12.33,0.92,2.33
k2_controller,memory_safety,50_100,6_50_100,0.25,13.67,0.82,3.0
k2_controller,memory_safety,50_100,7_50_100,0.0,0.0,0.91,2.0
k2_controller,memory_safety,50_100,8_50_100,0.0,6.0,0.95,1.0
k2_controller,memory_safety,50_100,9_50_100,0.28,17.0,0.79,3.0
k2_controller,rename,0_50,1_0_50,0.0,3.0,0.94,1.0
k2_controller,rename,0_50,2_0_50,0.0,1.0,0.92,1.0
k2_controller,rename,0_50,3_0_50,0.0,6.0,0.95,1.33
k2_controller,rename,0_50,4_0_50,0.0,1.0,0.92,1.0
k2_controller,rename,0_50,5_0_50,0.0,6.0,0.95,1.0
